anon_id,course_year,course_code,course_name,assessment_mark
Sf2daffa6,2019/0,MATH08057,Introduction to Linear Algebra,61
Sf2daffa6,2019/0,MATH08058,Calculus and its Applications,83
S72cc2d3c,2019/0,MATH08057,Introduction to Linear Algebra,67
S72cc2d3c,2020/1,MATH08058,Calculus and its Applications,NA
S9b6ac7e9,2019/0,MATH08057,Introduction to Linear Algebra,61
S9b6ac7e9,2019/0,MATH08058,Calculus and its Applications,98
Sa89532da,2020/1,MATH08057,Introduction to Linear Algebra,83
Sa89532da,2020/1,MATH08058,Calculus and its Applications,NA
S36a05a61,2019/0,MATH08057,Introduction to Linear Algebra,83
S36a05a61,2019/0,MATH08058,Calculus and its Applications,98
S2d2b0c17,2019/0,MATH08057,Introduction to Linear Algebra,82
S2d2b0c17,2019/0,MATH08058,Calculus and its Applications,98
S27bf74e1,2019/0,MATH08057,Introduction to Linear Algebra,90
S27bf74e1,2019/0,MATH08058,Calculus and its Applications,93
S45008542,2019/0,MATH08057,Introduction to Linear Algebra,90
S45008542,2019/0,MATH08058,Calculus and its Applications,100
S0a4b5f19,2019/0,MATH08057,Introduction to Linear Algebra,56
S0a4b5f19,2019/0,MATH08058,Calculus and its Applications,94
Sb9a82207,2019/0,MATH08057,Introduction to Linear Algebra,91
Sb9a82207,2019/0,MATH08058,Calculus and its Applications,93
S7cf5ff1c,2019/0,MATH08057,Introduction to Linear Algebra,82
S7cf5ff1c,2019/0,MATH08058,Calculus and its Applications,91
S9a31902a,2019/0,MATH08057,Introduction to Linear Algebra,89
S9a31902a,2019/0,MATH08058,Calculus and its Applications,89
S903b1f47,2019/0,MATH08057,Introduction to Linear Algebra,47
S903b1f47,2019/0,MATH08058,Calculus and its Applications,58
S7543e57d,2019/0,MATH08057,Introduction to Linear Algebra,98
S7543e57d,2019/0,MATH08058,Calculus and its Applications,100
See54d976,2019/0,MATH08057,Introduction to Linear Algebra,77
See54d976,2019/0,MATH08058,Calculus and its Applications,87
S4ce8fbc0,2020/1,MATH08057,Introduction to Linear Algebra,39
S4ce8fbc0,2020/1,MATH08058,Calculus and its Applications,NA
S862134c0,2019/0,MATH08057,Introduction to Linear Algebra,62
S862134c0,2019/0,MATH08058,Calculus and its Applications,66
Sc6be8da8,2019/0,MATH08057,Introduction to Linear Algebra,78
Sc6be8da8,2019/0,MATH08058,Calculus and its Applications,96
S836b75b2,2019/0,MATH08057,Introduction to Linear Algebra,99
