cohort,anon_id,Post,Pre,ILA,CAP,FAC,took_FAC
2021,S205fa4ea,80,65.88,81,NA,NA,No FAC
2021,S3d5ab050,1.25,38.5,55,NA,NA,No FAC
2021,S6485de25,69.25,74.5,68,NA,NA,No FAC
2021,S30acd7f6,0,81.38,49,NA,NA,No FAC
2021,S4a1400a8,88.5,90.13,86,NA,NA,No FAC
2021,S929729ec,72,57,77,NA,59,FAC
2021,S675c8f18,70.88,82,91,NA,NA,No FAC
2021,Sed4d2847,92,95.38,81,NA,NA,No FAC
2021,S2099d8e6,67.75,45.25,72,NA,NA,No FAC
2021,S3c5ed434,66.5,64.5,73,NA,NA,No FAC
2021,S3d8f58ed,97.5,100,94,NA,NA,No FAC
2021,S37d02e00,91.38,94.38,92,NA,NA,No FAC
2021,S30fc0086,79.88,NA,NA,NA,70,FAC
